"smapc_from_1_to_1","smapc_from_5_to_1","smapc_from_3_to_3","smapc_from_5_to_5","smapc_from_14_to_5","smapc_from_15_to_5","smapc_from_6_to_6","smapc_from_7_to_7","smapc_from_3_to_7","smapc_from_11_to_7","smapc_from_10_to_10","smapc_from_11_to_10","smapc_from_12_to_10","smapc_from_11_to_11","smapc_from_6_to_11","smapc_from_12_to_12","smapc_from_3_to_12","smapc_from_14_to_14","smapc_from_5_to_14","smapc_from_15_to_15","smapc_from_11_to_15"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.234619365737854,0.204685105560916,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0482518198958502,0.211529231998233,NA,NA
NA,NA,0.255558913113016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17023935969628,-0.00193007879747642,NA,NA,0.0606859369599828,0.221906612806549,NA,NA
NA,NA,0.256009701359495,NA,NA,NA,NA,0.469034983763672,0.0673952812809866,-0.031439604466823,NA,NA,NA,1.18242844002085,-0.0036495061884491,NA,NA,0.0588375149393313,0.210425364630209,NA,NA
NA,NA,0.25613864758841,NA,NA,NA,NA,0.476596333750993,0.0600115968539788,-0.0384499859159112,NA,NA,NA,1.18156003334743,-0.00219421248463338,NA,NA,0.0571640033579561,0.212690362822931,NA,NA
0.0171305080734343,0.124073704930476,0.257780933480339,NA,NA,NA,NA,0.480913190286975,0.0641314650745807,-0.0319474629088759,NA,NA,NA,1.15780374417613,0.00538505394868816,NA,NA,0.0606034279699993,0.211545663919116,NA,NA
0.0176999133254537,0.126122671716219,0.260103658325522,NA,NA,NA,NA,0.487498693614844,0.0749569358159624,-0.0419936745952228,NA,NA,NA,1.17394612110828,-0.000873295235679954,NA,NA,1.51745842157573,0.158757277562927,NA,NA
0.0175956304723763,0.126557414363555,0.305885807649942,NA,NA,NA,NA,0.492391470719393,0.0793688445847929,-0.0408763580494039,NA,NA,NA,1.17538649743293,-0.00678565663777178,0.547816155075826,-0.00563022090676497,1.55267660375624,0.159951350515394,NA,NA
0.017747821707106,0.125971950308128,0.316260666448692,NA,NA,NA,NA,0.511340084789507,0.0783558028082893,-0.0571011719272992,NA,NA,NA,1.16536316321158,0.0033236805004056,0.549556284040258,-0.0053800974563903,1.98811931039879,0.151607477166459,NA,NA
0.0174010907744454,0.126231745638298,0.316306127331479,NA,NA,NA,NA,0.528574030475939,0.087302035544671,-0.0524253531350048,NA,NA,NA,1.18527305693275,-0.00934081082343933,0.54944165957381,-0.00575461046125124,2.03222126839789,0.152404217711547,NA,NA
0.0177831700426271,0.126294611445313,0.317417888954949,NA,NA,NA,NA,0.544852461764583,0.0849560894808986,-0.0687089306854643,NA,NA,NA,1.17802348935413,-0.00819479408465163,0.548880939694568,-0.00549799523667599,2.03222126839789,0.152404217711547,NA,NA
0.043491528480602,0.136727742291015,0.317417888954949,NA,NA,NA,NA,0.57726132603266,0.0825448879372741,-0.0755064682091557,NA,NA,NA,1.173747232597,-0.00821278161972849,0.548950313739152,-0.00546370882507045,2.03222126839789,0.152404217711547,NA,NA
0.0446438001955746,0.136081634620079,0.317417888954949,NA,NA,NA,NA,0.597351773424494,0.0829976455420461,-0.0874941517632182,NA,NA,NA,1.17986260248359,-0.00846543092869001,0.549015243403113,-0.00560147465233195,2.03222126839789,0.152404217711547,NA,NA
0.0460542962557631,0.13596651497883,0.317417888954949,NA,NA,NA,NA,0.58789847412297,0.0851255466375365,-0.0744548173989127,NA,NA,NA,1.17818649155039,-0.00824656919635211,0.548900142756069,-0.00569478906029129,2.03222126839789,0.152404217711547,NA,NA
0.0673924738429579,0.140307451222649,0.317417888954949,NA,NA,NA,NA,0.596417511404989,0.081049330297077,-0.0845288846604582,NA,NA,NA,1.18110054263565,-0.00845638126128065,0.548707723910331,-0.00554454051105148,2.03222126839789,0.152404217711547,0.570286298647798,-0.0595850787472084
0.0739244935036131,0.142296131964943,0.317417888954949,NA,NA,NA,NA,0.600570593092827,0.0744314101957398,-0.0853405701085538,0.187346170643393,-0.0590834406723212,-0.0294251335526848,1.18137277472475,-0.00835560363871603,0.549126973075785,-0.00534203352552239,2.03222126839789,0.152404217711547,0.564765322398892,-0.0582441803745687
0.0870049856073125,0.14477370775104,0.317417888954949,NA,NA,NA,NA,0.603864047481681,0.0747597611400334,-0.0854408394872218,0.165757095087956,-0.0485363959262936,0.0195540449014154,1.17937551741525,-0.00882592150445444,0.548435599409378,-0.00469156243645913,2.03222126839789,0.152404217711547,0.571251022098469,-0.0592923705592225
0.0862635850262263,0.143208171795673,0.317417888954949,0.262230086214018,0.15453223614676,-0.0190864675380271,NA,0.605174829655933,0.0784996806485931,-0.0818904854025062,0.157490031177362,-0.0587886028820818,0.0327734768835877,1.17739599859793,-0.00886401812898328,0.54921327658473,-0.00550993166970526,2.03222126839789,0.152404217711547,0.571419795315375,-0.0601192092603937
